stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
BPL,,BPLIT,20680,BPL (Towards Hope Farm),12.98525,77.74828,,
BPL,,BPLIT,20681,BPL (Towards ITPL),12.98531,77.74768,,
BRV Talkies Cubbon Road,,MPG-2,30209,BRV Talkies Cubbon Road (Towards MG Road),12.97941,77.60223,,
Babusabpalya,,BBSP2,20617,Babusabpalya (Towards Hebbala),13.0226,77.64702,,
Babusabpalya,,BBSP2,20618,Babusabpalya (Towards Tin Factory),13.02274,77.64721,,
Bachahalli Gate,,BCHG,29620,Bachahalli Gate (Towards Devanahalli),13.21219,77.6732,,
Bachahalli Gate,,BCHG,35638,Bachahalli Gate (Towards Venkatala),13.21205,77.67332,,
Bagalagunte,,BGLG1,20619,Bagalagunte (Towards 8th Mile),13.05665,77.50735,,
Bagalagunte,,BGLG1,20620,Bagalagunte (Towards Chikkabanavara),13.05657,77.50728,,
Bagalur Cross,,BGLRC,29626,Bagalur Cross (Towards Devanahalli),13.12198,77.61061,,
Bagalur Cross,,BGLRC,35633,Bagalur Cross (Towards Hebbala),13.12211,77.61116,,
Balaji Nagara Cross,,BNC1,40403,Balaji Nagara Cross (Towards Thigularapalya),13.01405,77.49106,,
Balaji Nagara Cross,,BNC1,40404,Balaji Nagara Cross (Towards Peenya 2nd Stage),13.01418,77.49109,,
Bandi Reddy Circle,,BRC2,31879,Bandi Reddy Circle (Towards Bandi Reddy Circle),12.99141,77.56384,,
Basaveshwara College,,BSVC,20629,Basaveshwara College (Towards Navarang),12.99448,77.5527,,
Basaveshwara College,,BSVC,24194,Basaveshwara College (Towards Rajajinagara ESI),12.9941,77.55278,,
Bashyam Circle Rajajinagara,,BCRJN,20632,Bashyam Circle Rajajinagara (Towards Sujata Talkies),12.98441,77.5544,,
Bashyam Circle Rajajinagara,,BCRJN,29788,Bashyam Circle Rajajinagara (Towards Rajajinagara Old Police Station),12.98458,77.55414,,
Bettahalasuru Cross,,BTHC-1,29914,Bettahalasuru Cross (Towards Yalahanka),13.15656,77.62358,,
Bettahalasuru Cross,,BTHC-1,31981,Bettahalasuru Cross (Towards Devanahalli),13.1571,77.62336,,
Bettahalli Layout,,BETHLI,21749,Bettahalli Layout (Towards Chikka Bettahalli),13.0923,77.55954,,
Bettahalli Layout,,BETHLI,21750,Bettahalli Layout (Towards Attur Layout),13.09242,77.55946,,
Bhadrappa Layout,,BDPL2,20659,Bhadrappa Layout (Towards BEL Circle),13.0472,77.57339,,
Bhadrappa Layout,,BDPL2,20660,Bhadrappa Layout (Towards Hebbala),13.04759,77.57596,,
Bharathi Nagara,,BHTN,29992,Bharathi Nagara (Towards Devanahalli),13.1374,77.61746,,
Bharathi Nagara,,BHTN,32026,Bharathi Nagara (Towards Yalahanka),13.13752,77.61764,,
Bharathnagara Sunkadakatte,,BHRSUNKATEEE,29996,Bharathnagara Sunkadakatte (Towards Muneshwara Temple),12.97958,77.50203,,
Bhuvanahalli Gate,,BVHGD,30042,Bhuvanahalli Gate (Towards Yalahanka),13.21859,77.6798,,
Bhuvanahalli Gate,,BVHGD,32051,Bhuvanahalli Gate (Towards Devanahalli),13.2187,77.67964,,
Big Bazzar ITPL,,BBZ-1,20670,Big Bazzar ITPL (Towards Hope Farm),12.98823,77.73197,,
Big Bazzar ITPL,,BBZ-1,21768,Big Bazzar ITPL (Towards Kempegowda Bus Station),12.98827,77.73061,,
Bilijaji,,BLJJ1,30101,Bilijaji (Towards Govindapura),13.12638,77.47337,,
Bilijaji Cross,,BLJAJ,30103,Bilijaji Cross (Towards Hesaraghatta),13.12583,77.47565,,
Binnamangala,,BML2,30108,Binnamangala (Towards Nelamangala),13.08744,77.41242,,
Binny Mill,,GSR,21470,Binny Mill (Towards Sirsi Circle),12.97036,77.56621,,
Binny Mill,,GSR,21471,Binny Mill (Towards Magadi Road),12.9706,77.5662,,
Binnypet,,BNIPT,21472,Binnypet (Towards Sirsi Circle),12.96448,77.56171,,
Binnypet,,BNIPT,21473,Binnypet (Towards Magadi Road),12.96468,77.56176,,
Bone Mill,,BNML,20676,Bone Mill (Towards 8th Mile),13.06385,77.50508,,
Bone Mill,,BNML,20678,Bone Mill (Towards Chikkabanavara),13.06385,77.50503,,
Brundavana Peenya,,BNDVN,20684,Brundavana Peenya (Towards Jalahalli Cross),13.02031,77.50805,,
Brundavana Peenya,,BNDVN,20685,Brundavana Peenya (Towards Peenya 2nd Stage),13.0204,77.50822,,
Byadarahalli,,BDH1,21474,Byadarahalli (Towards Sunkadakatte),12.98516,77.48223,,
Byraveshwara Layout,,BVSLO,20692,Byraveshwara Layout (Towards Thotada Guddadahalli),13.06413,77.49493,,
CMTI,,CMTI,20723,CMTI (Towards Jalahalli Cross),13.03074,77.53647,,
CMTI,,CMTI,20724,CMTI (Towards Yashwanthapura ),13.03143,77.53561,,
CPRI,,CPRI4,24726,CPRI (Towards Mekhri Circle),13.01484,77.57489,,
CPRI,,CPRI4,32382,CPRI (Towards Yashwanthapura TTMC),13.01473,77.57499,,
CSI Hospital,,CSIH1,21868,CSI Hospital (Towards Indian Express),12.98983,77.59938,,
Canara Bank Rajajinagara 1st Block,,CBR1st,24187,Canara Bank Rajajinagara 1st Block (Towards Navarang),13.00089,77.55044,,
Cantonment Railway Station,,CRLST,21805,Cantonment Railway Station (Towards Shivaji Nagara),12.9937,77.59689,,
Central,,CNTRLT,20702,Central (Towards Malleshwara),12.99006,77.57199,,
Central,,CNTRLT,20703,Central (Towards Kempegowda Bus Station),12.9898,77.57204,,
Central,,CNTRLT,23426,Central (Towards Yashwanthapura TTMC),12.98984,77.57181,,
Chikka Banavara,,CKB,20717,Chikka Banavara (Towards 8th Mile),13.08043,77.5026,,
Chikka Banavara,,CKB,20718,Chikka Banavara (Towards Hesaraghatta),13.08046,77.50248,,
Chikka Banavara,,CKB,38531,Chikka Banavara (Towards Guni Agrahara / Keregudadahalli),13.08068,77.50275,,
Chikka Bettahalli,,CHKHLY,21832,Chikka Bettahalli (Towards MS Palya),13.08945,77.55629,,
Chikka Bettahalli,,CHKHLY,21833,Chikka Bettahalli (Towards Attur Layout),13.0895,77.55623,,
Chikka Bommasandra Cross,,CHKBC1,21834,Chikka Bommasandra Cross (Towards Yalahanka Satellite Town),13.09353,77.58251,,
Chikka Bommasandra Cross,,CHKBC1,21835,Chikka Bommasandra Cross (Towards Yalahanka NES Office),13.09354,77.58248,,
Chikka Sanne Gate,,CSN,24537,Chikka Sanne Gate (Towards Yalahanka),13.23031,77.69109,,
Chikka Sanne Gate,,CSN,32286,Chikka Sanne Gate (Towards Devanahalli),13.23038,77.69093,,
Chikkabanavara Railway Station,,CKBRS,21108,Chikkabanavara Railway Station (Towards Hesaraghatta),13.07543,77.50464,,
Chikkabanavara Railway Station,,CKBRS,21109,Chikkabanavara Railway Station (Towards Bagalagunte),13.07547,77.50469,,
Chikkabidarakallu,,CKB9,24566,Chikkabidarakallu (Towards Nelamangala),13.05196,77.48778,,
Chikkajala,,CKHJ,24574,Chikkajala (Towards Devanahalli),13.17277,77.63318,,
Chikkajala,,CKHJ,32304,Chikkajala (Towards Yalahanka),13.17273,77.63369,,
Commando Hospital,,CMDH,21864,Commando Hospital (Towards HAL ),12.96364,77.62641,,
Corporation,,CRP12,20725,Corporation (Towards Cauvery Bhavan / Mysore Bank),12.96839,77.58675,,
Corporation,,CRP12,20726,Corporation (Towards HAL MG Road),12.9682,77.58936,,
Cunningham Road,,CUNHMRD,21869,Cunningham Road (Towards Vasantha Nagara),12.98788,77.59423,,
Dasanapura,,DSNP,24788,Dasanapura (Towards Nelamangala),13.07523,77.43599,,
Dasappanapalya,,DSPY,24792,Dasappanapalya (Towards Chikka Banavara),13.07934,77.50593,,
Dasappanapalya,,DSPY,32409,Dasappanapalya (Towards Kere Guddadahalli),13.0794,77.50591,,
Deepak Factory,,DPKF,24818,Deepak Factory (Towards Nelamangala),13.04704,77.50159,,
Depot-09 Gate,,D9G,39142,Depot-09 Gate (Towards NTTF),13.02071,77.5006,,
Depot-09 Peenya,,D9,35710,,13.02021,77.50013,,
Depot-22 Gate,,D22G,39141,Depot-22 Gate (Towards NTTF),13.02016,77.50191,,
Depot-22 Peenya,,D22G,20747,,13.01948,77.50172,,
Depot-31 Gate,,D31G1,21887,Depot-31 Gate (Towards Summanahalli),12.99306,77.52146,,
Depot-45 Gate,,D45G,35044,Depot-45 Gate (Towards Jally Machine),13.08298,77.55066,,
Depot-45 Gate,,D45G,36327,Depot-45 Gate (Towards MS Palya),13.0829,77.55072,,
Devaiah Park,,DVHP1,20751,Devaiah Park (Towards Navarang),12.99628,77.56424,,
Devaiah Park,,DVHP1,20752,Devaiah Park (Towards Malleshwaram),12.99642,77.56419,,
Devanahalli Bypass NH-7,,DVN2,24922,Devanahalli Bypass NH-7 (Towards Nandi Cross),13.24207,77.70346,,
Devanahalli Bypass NH-7,,DVN2,32454,Devanahalli Bypass NH-7 (Towards Hiranandani),13.24231,77.70399,,
Devanahalli New Bus Station,,DVHN,24931,Devanahalli New Bus Station (Towards Yalahanka),13.24528,77.71281,,
Devanahalli New Bus Station,,DVHN,32458,Devanahalli New Bus Station (Towards Devanahalli Govt Hospital),13.2454,77.71276,,
Devanahalli Old Bus Stand,,DVHOS1,32461,Devanahalli Old Bus Stand (Towards Devanahalli Govt Hospital),13.24853,77.71547,,
Devanahalli Old Bus Stand,,DVHOS1,32462,Devanahalli Old Bus Stand (Towards Yalahanka),13.24845,77.7156,,
Devanahalli Talluk Office,,DVHTO,24936,Devanahalli Talluk Office (Towards Devanahalli),13.24363,77.70877,,
Devanahalli Talluk Office,,DVHTO,32463,Devanahalli Talluk Office (Towards Yalahanka),13.24358,77.70893,,
Devannanapalya,,DVNPL,24942,Devannanapalya (Towards Nelamangala),13.07734,77.43133,,
Devinagara Cross,,DVNG1,20757,Devinagara Cross (Towards Hebbala),13.047,77.56904,,
Devinagara Cross,,DVNG1,20758,Devinagara Cross (Towards BEL Circle),13.04689,77.5692,,
Dhaba Gate,,DBG,24967,Dhaba Gate (Towards Yalahanka),13.22638,77.68726,,
Dhaba Gate,,DBG,32476,Dhaba Gate (Towards Devanahalli),13.22644,77.68707,,
Diacon Hospital,,DCH1,22893,Diacon Hospital (Towards Rajajinagara 1st Block),13.00379,77.55003,,
Diacon Hospital,,DCH1,24193,Diacon Hospital (Towards Navarang),13.00398,77.55002,,
Diwanarapalya,,DWNPY,21899,Diwanarapalya (Towards Yeshawanthapura ),13.02677,77.56181,,
Diwanarapalya,,DWNPY,21900,Diwanarapalya (Towards Mathikere),13.02673,77.56177,,
Dodda Nekkundi Bridge/Rainbow Hospital,,DDNKD,20761,Dodda Nekkundi Bridge/Rainbow Hospital (Towards Hebbala),12.97565,77.697,,
Dodda Nekkundi Bridge/Rainbow Hospital,,DDNKD,20762,Dodda Nekkundi Bridge/Rainbow Hospital (Towards Marathahalli Bridge),12.97499,77.69764,,
Domlur,,DOMLR,21914,Domlur (Towards HAL ),12.96111,77.63809,,
Domlur Flyover,,DMH-1,21917,Domlur Flyover (Towards HAL),12.96048,77.64352,,
Dr BR Ambedkar Bus Terminal (Domlur) - Platform 1,21923_ST,DRBRABT-dep,21923_PF1,,12.961706,77.63846,,1
Dwaraka Nagara,,DKN,21507,Dwaraka Nagara (Towards Chikkabanavara),13.08768,77.49527,,
Dwaraka Nagara,,DKN,32575,Dwaraka Nagara (Towards Soladevanahalli Police Station),13.08764,77.49526,,
EMC2,,EM1,20774,EMC2 (Towards Marathihalli Bridge),12.98256,77.69301,,
EMC2,,EM1,20775,EMC2 (Towards Hebbala),12.98239,77.69288,,
